,Tweets,len,ID,Date,Source,Likes,RTs
106,RT @NAACP: Close to a third of the Eastern District of North Carolina is black and it is diverse. Farr worked on behalf of corporate Americ…,140,1004429207215202304,2018-06-06 18:25:59,Twitter for iPhone,0,24
107,Preach! @RevDrBarber speaking out against Thomas Farr nomination-“Appointing Farr would be like putting a fox over… https://t.co/pYzHlXOeTn,139,1004428266135080962,2018-06-06 18:22:14,Twitter for iPhone,1,0
108,"Thomas Farr defended North Carolina's 2013 voter suppression law. When the Fourth Circuit struck down the law, the… https://t.co/zpWDLN6rqu",139,1004413350447640577,2018-06-06 17:22:58,Twitter Web Client,29,14
109,"RT @latinovictoryus: Congratulations on your primary win, @XavierBecerra! Proud to have you leading the resistance through the courts! http…",140,1004252166939447296,2018-06-06 06:42:29,Twitter for iPhone,0,82
110,"RT @latinovictoryus: Congratulations, @XochforCongress! We can't wait to help you flip #NM02 blue in November! 

Thanks for proving this is…",140,1004208701400649728,2018-06-06 03:49:46,Twitter Web Client,0,19
111,RT @JasonKander: LAV's first policy fellow just won his Iowa state Senate primary. @ZachWahls is part of a new generation we need in Des Mo…,140,1004204896210640896,2018-06-06 03:34:39,Twitter for iPhone,0,126
112,"RT @latinovictoryus: Congratulations to @Michelle4NM -- the Democratic nominee for Governor of New Mexico! 

It's time for New Mexico to be…",140,1004196749911707648,2018-06-06 03:02:16,Twitter Web Client,0,106
113,RT @MikieSherrill: Live from our returns party! So proud of this team. Thank you to all who volunteered and voted. We're one step close htt…,140,1004195436591288321,2018-06-06 02:57:03,Twitter Web Client,0,213
114,RT @letamericavote: California! Make sure your voice is heard. Get out &amp; vote ➡️ 🗳 #CApol #CAprimary https://t.co/8pDUSN8V73,128,1004029430677819393,2018-06-05 15:57:24,Twitter for iPhone,0,86
115,RT @suzytweet: .@HeartlandZack is the genius behind #DadsDefendingDemocracy. Listen to why he’s protecting voting rights for his daughters.…,140,1003790663828295680,2018-06-05 00:08:38,Twitter for iPhone,0,17
116,"RT @PPact: Today on #500Days of @realdonaldtrump, we launched #TrackingTrump because the dangerous policies of this administration — and th…",140,1003721220406333446,2018-06-04 19:32:41,Twitter Web Client,0,90
117,"RT @AMarch4OurLives: This summer. #RoadToChange 
Text CHANGE to 977-79 or visit https://t.co/2m7ItdxgIv to join us. #MarchForOurLives https…",140,1003687064653713408,2018-06-04 17:16:58,Twitter Web Client,0,970
118,"RT @UNITEDWEDREAM: We're in Washington DC, calling for the end to family separation, and calling congress to #DefundICE &amp; #DefundCBP.

If y…",144,1002579203252944896,2018-06-01 15:54:43,Twitter for iPhone,0,33
119,RT @IAmAnImmigrant: Many of our nation's immigrant stories are not so different from those of families who are striving to be part of the A…,140,1002571174382133250,2018-06-01 15:22:49,Twitter for iPhone,0,2990
120,RT @letamericavote: Millions of high school seniors will graduate in the next few weeks. Let's make sure they're registered to vote before…,139,1002564419640053762,2018-06-01 14:55:59,Twitter for iPhone,0,42
121,I #WearOrange for gun violence awareness. Join the campaign at https://t.co/uvADfiwlRr https://t.co/XJax2kIbaU,110,1002547385556402178,2018-06-01 13:48:17,Twitter for iPhone,4,0
122,"RT @letamericavote: ""I look forward to working with Let America Vote to ensure every Hoosier can vote easily, securely and without discrimi…",140,1002212410789384192,2018-05-31 15:37:13,Twitter for iPhone,0,12
123,"RT @letamericavote: ""Our fundamental right to vote is the bedrock of our democracy."" - @JoshBoschee, who we're endorsing for North Dakota s…",140,1002209652099158016,2018-05-31 15:26:15,Twitter for iPhone,0,29
124,"RT @letamericavote: New endorsement: Brianna Lennon is running for Boone County Clerk in Missouri to ensure ""every eligible voter has the o…",140,1002208114668646401,2018-05-31 15:20:09,Twitter for iPhone,0,34
125,RT @womensmarch: A major win tonight for our sister chapter @womensmarchIL ! Illinois just ratified the Equal Rights Amendment! When we fig…,140,1002202247076503552,2018-05-31 14:56:50,Twitter for iPhone,0,735
126,"RT @letamericavote: #LAVField was on the ground knocking doors the FIRST weekend after the primary in VA. Medicaid expansion will give 400,…",140,1002010364899418112,2018-05-31 02:14:22,Twitter for iPhone,0,25
127,Inspired by these amazing student activists from across the country who are fighting to end gun violence in our com… https://t.co/RVJB9JwOZj,140,1002009292738891778,2018-05-31 02:10:06,Twitter for iPhone,3,1
128,RT @letamericavote: Politicians think young people won't register &amp; turn out to vote this fall. Let's prove them wrong. #TheFutureIsVoting…,143,1001578857781186562,2018-05-29 21:39:42,Twitter Web Client,0,45
129,"RT @repjohnlewis: Thank you, @ABCNetwork. You did the right thing. There is not any room in our society for racism or bigotry.",126,1001569215776808966,2018-05-29 21:01:23,Twitter Web Client,0,8961
130,"RT @letamericavote: ""People died for [the right to vote]. I think about that every time I cast a vote. So don’t let their sacrifice be in v…",140,1001514750533165057,2018-05-29 17:24:58,Twitter for iPhone,0,113
131,RT @seungminkim: It's the Trump admin's decision to refer 100% of illegal southwest border crossings to DOJ for prosecution that is causing…,140,1000379506434199554,2018-05-26 14:13:55,Twitter for iPhone,0,254
132,RT @RevDrBarber: The fight continues. Across this nation we are crying out &amp; we we won’t be silent anymore. Join us. #PoorPeoplesCampaign h…,144,1000378023307304961,2018-05-26 14:08:01,Twitter for iPhone,0,709
133,"RT @AfAmResearch: Official US policy:

Until 1865, rip African American children from their parents.

From 1870s to 1970s, rip Native Ameri…",140,1000376754664624128,2018-05-26 14:02:59,Twitter for iPhone,0,8099
134,RT @NatImmForum: Separating a father from his toddler – and refusing to tell him where is 18-month-old son had been placed – is an affront…,139,1000373334528405505,2018-05-26 13:49:23,Twitter for iPhone,0,3282
135,"RT @MichaelSkolnik: SHE HAS A NAME: unarmed 20 year old, Claudia Patricia Gómez González, from Guatemala, was shot and killed by an ICE age…",140,1000139487287107584,2018-05-25 22:20:10,Twitter for iPhone,0,61546
136,RT @NILC_org: This is damning evidence that political fear mongering and pure hatred toward immigrants and communities of color is fueling…,139,1000082428638187520,2018-05-25 18:33:26,Twitter for iPhone,0,165
137,"RT @FrankSharry: ""Dehumanizing rhetoric works in exactly this way: It slaps the dehumanizing slur on the least sympathetic subgroup and the…",140,1000073752678404096,2018-05-25 17:58:57,Twitter for iPhone,0,152
